1983,Documentary (Short Subject),Flamenco at 5:15
1983,Film Editing,The Right Stuff
1983,Foreign Language Film,Fanny & Alexander
1983,Music (Scoring),The Right Stuff
1983,Music (Scoring),Yentl
1983,Music (Song),Flashdance
1983,Best Picture,Terms of Endearment
1983,Short Film (Animated),Sundae in New York
1983,Short Film (Live Action),Boys and Girls
1983,Sound,The Right Stuff
1983,Sound Editing,The Right Stuff
1983,Visual Effects,Return of the Jedi
1983,Writing,Terms of Endearment
1983,Writing,Tender Mercies
1982,Actor -- Leading Role,Ben Kingsley
1982,Actor -- Supporting Role,"Louis Gossett, Jr."
1982,Actress -- Leading Role,Meryl Streep
1982,Actress -- Supporting Role,Jessica Lange
1982,Art Direction,Gandhi
1982,Cinematography,Gandhi
1982,Costume Design,Gandhi
1982,Directing,Gandhi
1982,Documentary (Feature),Just Another Missing Kid
1982,Documentary (Short Subject),If You Love This Planet
1982,Film Editing,Gandhi
1982,Foreign Language Film,Volver a Empezar ('To Begin Again')
1982,Makeup,Quest for Fire
1982,Music (Scoring),E.T. The Extra-Terrestrial
1982,Music (Scoring),Victor/Victoria
1982,Music (Song),An Officer and a Gentleman
1982,Best Picture,Gandhi
1982,Short Film (Animated),Tango
1982,Short Film (Live Action),A Shocking Accident
1982,Sound,E.T. The Extra-Terrestrial
1982,Sound Editing,E.T. The Extra-Terrestrial
1982,Visual Effects,E.T. The Extra-Terrestrial
1982,Writing,Missing
1982,Writing,Gandhi
1981,Actor -- Leading Role,Henry Fonda
1981,Actor -- Supporting Role,John Gielgud
1981,Actress -- Leading Role,Katharine Hepburn
1981,Actress -- Supporting Role,Maureen Stapleton
1981,Art Direction,Raiders of the Lost Ark
1981,Cinematography,Reds
1981,Costume Design,Chariots of Fire
1981,Directing,Reds
1981,Documentary (Feature),Genocide
